"Property Name","Property URL","Price (INR)","Address","Property Type","Possession Date","Last Updated","Property Image"
"71 Midtown","https://housing.com/in/buy/projects/page/256921-71-midtown-by-paradigm-realty-in-chembur","₹1.04 Cr - 2.42 Cr","Chembur, Mumbai Harbour, Mumbai","1 BHK Flat,2 BHK Flat,3 BHK Flat","Dec, 2025","2w ago",""
"Agami Infinity Park 3","https://housing.com/in/buy/projects/page/338915-agami-infinity-park-3-by-agami-realty-in-boisar","₹41.0 L - 49.46 L","Boisar, Mira Road and Beyond, Mumbai","2 BHK Flat,3 BHK Flat","Dec, 2029","1d ago",""
"Avant Heritage IV","https://housing.com/in/buy/projects/page/336515-avant-heritage-iv-by-avant-group-in-jogeshwari-east","₹1.19 Cr - 3.73 Cr","Jogeshwari East, Western Suburbs, Mumbai","1 BHK Flat,2 BHK Flat,3 BHK Flat","Dec, 2028","1d ago",""
"Navnath Jayas","https://housing.com/in/buy/projects/page/301735-navnath-jayas-by-navnath-infrastructures-private-limited-in-goregaon-east","₹1.64 Cr - 2.52 Cr","Goregaon East, Andheri - Dahisar, Mumbai","2 BHK Flat,3 BHK Flat","Dec, 2027","1d ago",""
"Alaya","https://housing.com/in/buy/projects/page/347885-alaya-by-paradigm-realty-in-jogeshwari-west","₹1.14 Cr - 2.5 Cr","Jogeshwari West, Western Suburbs, Mumbai","1 BHK Flat,2 BHK Flat,3 BHK Flat","Jun, 2027","6d ago",""
"Sai Swaroop","https://housing.com/in/buy/projects/page/325472-sai-swaroop-by-concrete-builders-in-chembur","₹99.99 L - 2.18 Cr","Chembur, Mumbai Harbour, Mumbai","1 BHK Flat,3 BHK Flat","Dec, 2027","1d ago",""
"Paradigm Anantaara","https://housing.com/in/buy/projects/page/278625-paradigm-anantaara-by-paradigm-realty-in-borivali-west","₹2.38 Cr - 8.59 Cr","Borivali West, Western Suburbs, Mumbai","2 BHK Flat,3 BHK Flat,3.5 BHK Flat,5.5 BHK Flat,6 BHK Flat","Dec, 2030","2w ago",""
"I Stay Project","https://housing.com/in/buy/projects/page/294868-i-stay-project-by-starwing-real-estate-company-in-andheri-east","₹1.57 Cr","Andheri East, Andheri, Mumbai","2 BHK Flat","Oct, 2028","2w ago",""
"Avant Heritage V","https://housing.com/in/buy/projects/page/310556-avant-heritage-v-by-avant-group-in-jogeshwari-east","₹1.99 Cr - 2.21 Cr","Jogeshwari East, JVLR-Andheri East, Mumbai","2 BHK Flat,2.5 BHK Flat","Dec, 2027","2d ago",""
"Sai Emerald","https://housing.com/in/buy/projects/page/309643-sai-emerald-by-sai-realtors-and-developers-in-mulund-west","₹1.45 Cr - 2.89 Cr","Mulund West, Mulund, Mumbai","2 BHK Flat,3 BHK Flat","Dec, 2030","2d ago",""
"Keshav Srushti","https://housing.com/in/buy/projects/page/133794-keshav-srushti-by-srushti-realtors-in-palghar","₹27.59 L - 28.73 L","Palghar, Mumbai","1 BHK Flat","Dec, 2025","4d ago",""
"Ruparel Zinnia","https://housing.com/in/buy/projects/page/341947-ruparel-zinnia-by-ruparel-realty-in-borivali-west","₹1.99 Cr","Borivali West, Mumbai","2 BHK Flat","Jun, 2028","2d ago",""
"Gurukrupa Ekam","https://housing.com/in/buy/projects/page/352911-gurukrupa-ekam-by-gurukrupa-realcon-builders-and-developers-in-andheri-west","₹2.93 Cr - 4.01 Cr","Andheri West, Mumbai","2 BHK Flat,3 BHK Flat","Apr, 2029","1d ago",""
"RUPAREL VIVANZA","https://housing.com/in/buy/projects/page/277676-ruparel-vivanza-by-ruparel-realty-in-byculla","₹2.55 Cr - 5.06 Cr","Byculla, Mumbai","2 BHK Flat,3 BHK Flat","Nov, 2027","2d ago",""
"Piramal Mahalaxmi","https://housing.com/in/buy/projects/page/331987-piramal-mahalaxmi-by-piramal-realty-in-worli","₹5.39 Cr - 13.58 Cr","Worli, Mumbai","2 BHK Flat,3 BHK Flat,4 BHK Flat","Dec, 2025","3d ago",""
"Artha 38 Avenue","https://housing.com/in/buy/projects/page/344324-artha-38-avenue-by-artha-lifespaces-llp-in-goregaon-west","₹1.73 Cr - 2.26 Cr","Goregaon West, Mumbai","2 BHK Flat,3 BHK Flat","Jan, 2029","4w ago",""
"Multistar Autograph Residency","https://housing.com/in/buy/projects/page/355195-multistar-autograph-residency-by-multistar-builders-llp-in-andheri-west","₹3.29 Cr - 4.23 Cr","Andheri West, Mumbai","1 BHK Flat,3 BHK Flat,Duplex","Dec, 2030","2w ago",""
"Star Signature City Star Pearl","https://housing.com/in/buy/projects/page/266377-star-signature-city-star-pearl-by-star-builders-and-developers-in-makane-kapase","₹25.26 L - 31 L","Makane Kapase, Mumbai","1 BHK Flat,2 BHK Flat","Dec, 2026","4w ago",""
"Mesacon Nest","https://housing.com/in/buy/projects/page/276003-mesacon-nest-by-mesacon-group-in-vile-parle-east","₹1.14 Cr - 3.63 Cr","Vile Parle East, Mumbai","1 BHK Flat,2.5 BHK Flat,3 BHK Flat","Dec, 2024","",""
"Bharat Auravistas","https://housing.com/in/buy/projects/page/328188-bharat-auravistas-by-bharat-agri-fert-realty-ltd-in-andheri-west","₹3.81 Cr - 6.6 Cr","Andheri West, Mumbai","3 BHK Flat","Jul, 2029","1d ago",""
"Gurukrupa The Marque","https://housing.com/in/buy/projects/page/336380-gurukrupa-the-marque-by-gurukrupa-realcon-lifespaces-llp-in-bandra-west","₹3.91 Cr - 11.56 Cr","Bandra West, Mumbai","2 BHK Flat,3 BHK Flat,3.5 BHK Flat,4 BHK Flat,5 BHK Flat","Oct, 2028","",""
"Piramal Aranya","https://housing.com/in/buy/projects/page/301988-piramal-aranya-by-piramal-realty-in-byculla","₹2.99 Cr","Byculla, Mumbai","2 BHK Flat,3 BHK Flat,4 BHK Flat","Dec, 2027","1d ago",""
"Shubhamkaroti Aarambh","https://housing.com/in/buy/projects/page/308937-shubhamkaroti-aarambh-by-shubhamkaroti-infratech-llp-in-vikhroli-east","₹66 L - 1.05 Cr","Vikhroli East, Mumbai","1 BHK Flat,2 BHK Flat","Dec, 2027","4w ago",""
"Newlook Bhavya Elite","https://housing.com/in/buy/projects/page/254063-newlook-bhavya-elite-by-newlook-constructions-pvt-ltd-in-antop-hill","₹99.19 L - 1.64 Cr","Antop Hill, Mumbai","1 BHK Flat,2 BHK Flat","Dec, 2025","1d ago",""
"Shantee Sunshine Residency","https://housing.com/in/buy/projects/page/290079-shantee-sunshine-residency-by-shantee-homes-in-vasai-east","₹15.91 L - 44.79 L","Vasai East, Vasai","1 RK Flat,1 BHK Flat,2 BHK Flat","Dec, 2025","1d ago",""
"Rivali Park Stargaze","https://housing.com/in/buy/projects/page/310425-rivali-park-stargaze-by-cci-projects-in-borivali-east","₹2.5 Cr - 3.57 Cr","Borivali East, Mumbai","2 BHK Flat,3 BHK Flat","Oct, 2029","1d ago",""
"Samarpan Sankalp","https://housing.com/in/buy/projects/page/316678-samarpan-sankalp-by-samarpan-homes-and-developers-in-borivali-east","₹1.02 Cr - 1.62 Cr","Borivali East, Mumbai","1 BHK Flat,2 BHK Flat","Dec, 2026","1d ago",""
"Raghav Paradise","https://housing.com/in/buy/projects/page/278240-raghav-paradise-by-raghav-in-borivali-east","₹94.12 L - 1.68 Cr","Borivali East, Mumbai","1 BHK Flat,2 BHK Flat,3 BHK Flat","Dec, 2025","",""
"Alpine Primo","https://housing.com/in/buy/projects/page/265834-alpine-primo-by-alpine-infra-heights-llp-in-andheri-west","₹1.43 Cr - 3.36 Cr","Andheri West, Mumbai","1 BHK Flat,2 BHK Flat,3 BHK Flat","Dec, 2025","1d ago",""
"Triumph Omkareshwar","https://housing.com/in/buy/projects/page/271979-triumph-omkareshwar-by-triumph-ventures-in-borivali-east","₹1.2 Cr - 1.47 Cr","Borivali East, Mumbai","2 BHK Flat","Dec, 2024","4w ago",""
"L And T Emerald Isle","https://housing.com/in/buy/projects/page/57-l-and-t-emerald-isle-by-lt-realty-in-powai","₹1.22 Cr - 9.17 Cr","Powai, Mumbai","1 BHK Flat,2 BHK Flat,3 BHK Flat,4 BHK Flat","Dec, 2024","3w ago",""
"Myriax Tower","https://housing.com/in/buy/projects/page/107183-myriax-tower-by-myriax-infratech-in-vile-parle-west","₹2.45 Cr - 3.01 Cr","Vile Parle West, Mumbai","3 BHK Flat","Dec, 2018","",""
"Avant Hillway","https://housing.com/in/buy/projects/page/31685-avant-hillway-by-avant-group-in-goregaon-east","₹1.95 Cr - 2.43 Cr","Goregaon East, Mumbai","2 BHK Flat","Dec, 2024","2d ago",""
"Piramal Revanta","https://housing.com/in/buy/projects/page/47215-piramal-revanta-by-piramal-realty-in-mulund-west","₹1.84 Cr - 4.06 Cr","Mulund West, Mumbai","2 BHK Flat,3 BHK Flat","Nov, 2028","1d ago",""
"1 BHK Flat in Boisar, Mumbai","https://housing.com/in/buy/resale/page/19441292-1-bhk-apartment-in-boisar-for-rs-2300000","₹23.0 L","Boisar, Mumbai","1 BHK Flat","Ready to move","1w ago",""
"Gami And Jaydeep Elanza","https://housing.com/in/buy/projects/page/287820-gami-and-jaydeep-elanza-by-real-infrastructure-co-in-chembur","₹1.19 Cr - 2.36 Cr","Chembur, Mumbai","1 BHK Flat,1.5 BHK Flat,2 BHK Flat,3 BHK Flat","Dec, 2025","",""
"Kripa Elysium","https://housing.com/in/buy/projects/page/317513-kripa-elysium-by-kripa-elite-corporation-in-chembur","₹84 L - 1.3 Cr","Chembur, Mumbai","1 BHK Flat,2 BHK Flat","Dec, 2027","4w ago",""
"JP North Celeste Wing D","https://housing.com/in/buy/projects/page/286196-jp-north-celeste-wing-d-by-jp-infra-mumbai-pvt-ltd-in-mira-road-east","₹55.43 L - 99.44 L","Mira Road East, Mumbai","1 BHK Flat,2 BHK Flat","Dec, 2023","",""
"PNK Tiara Hills Phase I Bldg No 3 5 And 2","https://housing.com/in/buy/projects/page/102678-pnk-tiara-hills-phase-i-bldg-no-3-5-and-2-by-pnk-space-development-in-mira-road-east","₹42.15 L - 66.87 L","Mira Road East, Mumbai","1 BHK Flat,2 BHK Flat","Dec, 2025","4w ago",""
"Ajmera Greenfinity Wing C And D","https://housing.com/in/buy/projects/page/254276-ajmera-greenfinity-wing-c-and-d-by-ajmera-group-in-wadala","₹1.14 Cr - 2.71 Cr","Wadala, Mumbai","1 BHK Flat,1.5 BHK Flat,2 BHK Flat,3 BHK Flat","Jun, 2025","1d ago",""
"Godshalwar Solitaire","https://housing.com/in/buy/projects/page/10853-godshalwar-solitaire-by-godshalwar-project-consultants-and-developers-in-santacruz-east","₹1.08 Cr - 2.13 Cr","Santacruz East, Mumbai","2 BHK Flat,3 BHK Flat","Dec, 2017","",""
"Ornata Sapphire","https://housing.com/in/buy/projects/page/252455-ornata-sapphire-by-spenta-corporation-in-chembur","₹84.23 L - 1.27 Cr","Chembur, Mumbai","1 BHK Flat,2 BHK Flat","Jun, 2025","1d ago",""
"Ruparel Panache","https://housing.com/in/buy/projects/page/284154-ruparel-panache-by-ruparel-realty-in-santacruz-west","₹6.24 Cr - 7.2 Cr","Santacruz West, Mumbai","3 BHK Flat","Dec, 2025","2d ago",""
"Transcon Triumph Tower 4","https://housing.com/in/buy/projects/page/276973-transcon-triumph-tower-4-by-transcon-developers-private-limited-in-andheri-west","₹2.67 Cr - 4.23 Cr","Andheri West, Mumbai","2 BHK Flat,3 BHK Flat","Mar, 2027","4w ago",""
"Vikhroli Plus Gurukrupa Anantam","https://housing.com/in/buy/projects/page/273739-vikhroli-plus-gurukrupa-anantam-by-gurukrupa-realcon-builders-and-developers-in-vikhroli-east","₹74.46 L - 1.53 Cr","Vikhroli East, Mumbai","1 BHK Flat,2 BHK Flat","Dec, 2024","",""
"Sunteck Beach Residences","https://housing.com/in/buy/projects/page/277847-sunteck-beach-residences-by-sunteck-realty-limited-in-vasai-west","₹99.5 L - 1.5 Cr","Vasai West, Vasai","2 BHK Flat,3 BHK Flat","Dec, 2027","1d ago",""
"Asmi Legacy","https://housing.com/in/buy/projects/page/288173-asmi-legacy-by-asmi-realtors-in-goregaon-west","₹2.06 Cr - 3.02 Cr","Goregaon West, Mumbai","2 BHK Flat,3 BHK Flat","Dec, 2026","3w ago",""
"JSB Nakshatra Aazstha","https://housing.com/in/buy/projects/page/302030-jsb-nakshatra-aazstha-by-jsb-group-in-vasai-east","₹27.8 L - 46.87 L","Vasai East, Vasai","1 BHK Flat,2 BHK Flat","Dec, 2026","1d ago",""
"Signature By Peridot","https://housing.com/in/buy/projects/page/279572-signature-by-peridot-by-peridot-builder-developer-in-andheri-west","₹1.36 Cr - 1.87 Cr","Andheri West, Mumbai","1 BHK Flat,2 BHK Flat","Dec, 2025","",""
"Haware Intelligentia Axis","https://housing.com/in/buy/projects/page/275443-haware-intelligentia-axis-by-haware-properties-in-borivali-east","₹80.85 L - 1.49 Cr","Borivali East, Mumbai","1 BHK Flat,2 BHK Flat","Dec, 2026","1d ago",""
"Sidhivinayak Orchid","https://housing.com/in/buy/projects/page/304959-sidhivinayak-orchid-by-sidhivinayak-developers-in-ghatkopar-east","₹92.78 L - 1.56 Cr","Ghatkopar East, Mumbai","1 BHK Flat,2 BHK Flat","Dec, 2026","4w ago",""
"Rustomjee Avenue L1 L2 And L4","https://housing.com/in/buy/projects/page/326567-rustomjee-avenue-l1-l2-and-l4-by-rustomjee-builders-in-virar-west","₹30.61 L - 47.37 L","Virar West, Mumbai","1 BHK Flat,2 BHK Flat","Jul, 2023","4w ago",""
"Godrej Sky Terraces","https://housing.com/in/buy/projects/page/312044-godrej-sky-terraces-by-godrej-properties-ltd-in-anushakti-nagar","₹6.22 Cr - 9.66 Cr","Anushakti Nagar, Mumbai","3 BHK Flat,4 BHK Flat","Jun, 2029","4w ago",""
"Shreepati Jade Park","https://housing.com/in/buy/projects/page/337966-shreepati-jade-park-by-shreepati-group-in-vile-parle-west","₹3.16 Cr - 8.66 Cr","Vile Parle West, Mumbai","2 BHK Flat,3 BHK Flat,4 BHK Flat","Dec, 2029","1d ago",""
"1 BHK Flat in Nalasopara West, Nala Sopara","https://housing.com/in/buy/resale/page/19476172-1-bhk-apartment-in-nalasopara-west-for-rs-3489000","₹34.89 L","Nalasopara West, Nala Sopara","1 BHK Flat","Ready to move","5d ago",""
"B R Siddharth Vikas SRA CHSL","https://housing.com/in/buy/projects/page/126084-b-r-siddharth-vikas-sra-chsl-by-br-builders-developers-in-santacruz-east","₹1.5 Cr - 1.7 Cr","Santacruz East, Mumbai","2 BHK Flat","Nov, 2022","",""
"Fair Township Building No 1","https://housing.com/in/buy/projects/page/319374-fair-township-building-no-1-by-om-group-of-companies-in-palghar","₹18.75 L - 39.9 L","Palghar, Mumbai","1 BHK Flat,2 BHK Flat,3 BHK Flat","Dec, 2025","1d ago",""
"Prithvi Anand Kuber Complex Phase 2","https://housing.com/in/buy/projects/page/303559-prithvi-anand-kuber-complex-phase-2-by-prithvi-anand-builders-in-palghar","₹13.24 L - 52.73 L","Palghar, Mumbai","1 RK Flat,1 BHK Flat,2 BHK Flat,3 BHK Flat","Dec, 2027","1d ago",""
"Elite Shubh","https://housing.com/in/buy/projects/page/346395-elite-shubh-by-elite-lifespaces-in-chembur","₹90 L - 1.88 Cr","Chembur, Mumbai","1 BHK Flat,1.5 BHK Flat,2 BHK Flat,2.5 BHK Flat","May, 2029","4w ago",""
"Dosti West County","https://housing.com/in/buy/projects/page/231212-dosti-west-county-by-dosti-realty-in-thane-west","₹1.35 Cr-2.17 Cr","Balkum Pada, Thane West,Thane","2 BHK Flat,3 BHK Flat","","","https://housing-images.n7net.in/4f2250e8/a2b3fe02d0647a6aca0f1af6a4571a4c/v0/medium/dosti_west_county-balkum-mumbai-dosti_realty.jpeg"
